212.227.20.164,bebloh
69.64.147.244,matsnu
217.76.150.74,matsnu
50.28.80.137,matsnu
50.63.202.31,matsnu
23.253.58.227,matsnu
54.205.101.85,matsnu
89.31.143.1,matsnu
162.242.150.89,matsnu
176.34.241.253,matsnu
184.168.221.14,matsnu
184.168.221.15,matsnu
34.194.213.50,ramnit
34.197.76.50,ramnit
34.225.182.233,ramnit
46.165.220.141,ramnit
46.165.220.143,ramnit
46.165.220.144,ramnit
46.165.220.145,ramnit
46.165.220.148,ramnit
46.165.220.149,ramnit
46.165.220.150,ramnit
46.165.220.151,ramnit
46.165.220.152,ramnit
46.165.220.153,ramnit
46.165.220.154,ramnit
46.165.220.155,ramnit
46.165.220.201,ramnit
46.165.221.136,ramnit
46.165.229.164,ramnit
46.165.229.165,ramnit
46.165.229.166,ramnit
46.165.229.167,ramnit
46.165.254.193,ramnit
46.165.254.194,ramnit
46.165.254.195,ramnit
46.165.254.196,ramnit
46.165.254.197,ramnit
46.165.254.198,ramnit
46.165.254.199,ramnit
46.165.254.200,ramnit
46.165.254.201,ramnit
52.9.172.230,ramnit
52.9.250.234,ramnit
54.72.130.67,ramnit
72.52.4.90,ramnit
74.119.239.234,ramnit
89.223.109.60,ramnit
95.215.108.16,ramnit
173.230.158.166,ramnit
173.239.5.6,ramnit
173.239.8.164,ramnit
176.53.118.145,ramnit
209.99.40.221,ramnit
209.99.40.225,ramnit
209.99.40.227,ramnit
213.247.47.190,ramnit
51.254.231.105,ransomwareips
104.244.156.10,ransomwareips
185.106.120.252,ransomwareips
45.58.52.23,ransomwareips
62.141.36.68,ransomwareips
93.171.216.61,ransomwareips
194.58.56.46,ransomwareips
194.58.56.197,ransomwareips
92.63.91.45,ransomwareips
194.58.56.104,ransomwareips
162.208.10.187,ransomwareips
5.9.253.173,ransomwareips
5.34.180.135,ransomwareips
5.34.183.21,ransomwareips
5.34.183.40,ransomwareips
5.34.183.136,ransomwareips
5.34.183.195,ransomwareips
5.79.106.152,ransomwareips
5.135.76.18,ransomwareips
5.152.199.70,ransomwareips
5.187.0.137,ransomwareips
5.187.5.171,ransomwareips
5.188.63.23,ransomwareips
5.188.63.30,ransomwareips
5.196.99.239,ransomwareips
5.196.200.247,ransomwareips
31.41.44.21,ransomwareips
31.41.44.45,ransomwareips
31.41.44.130,ransomwareips
31.41.47.37,ransomwareips
31.41.47.41,ransomwareips
31.41.47.50,ransomwareips
31.148.99.188,ransomwareips
31.148.99.241,ransomwareips
31.184.196.74,ransomwareips
31.184.196.75,ransomwareips
31.184.196.78,ransomwareips
31.184.197.72,ransomwareips
31.184.197.119,ransomwareips
31.184.197.126,ransomwareips
31.184.233.106,ransomwareips
31.202.128.249,ransomwareips
31.214.157.227,ransomwareips
37.46.131.153,ransomwareips
37.139.2.214,ransomwareips
37.139.27.52,ransomwareips
37.139.30.95,ransomwareips
37.235.50.29,ransomwareips
37.235.53.18,ransomwareips
37.235.53.210,ransomwareips
45.33.9.234,ransomwareips
45.55.192.133,ransomwareips
45.56.69.72,ransomwareips
46.4.239.76,ransomwareips
46.8.44.39,ransomwareips
46.8.45.18,ransomwareips
46.17.40.234,ransomwareips
46.17.44.153,ransomwareips
46.38.52.225,ransomwareips
46.108.39.18,ransomwareips
46.148.20.46,ransomwareips
46.165.253.93,ransomwareips
46.183.165.45,ransomwareips
51.254.19.227,ransomwareips
51.254.55.171,ransomwareips
51.254.181.122,ransomwareips
51.254.240.45,ransomwareips
51.254.240.60,ransomwareips
51.254.240.89,ransomwareips
51.255.105.2,ransomwareips
51.255.107.8,ransomwareips
51.255.107.10,ransomwareips
51.255.107.20,ransomwareips
51.255.107.37,ransomwareips
51.255.172.55,ransomwareips
54.67.27.43,ransomwareips
54.200.9.74,ransomwareips
62.113.255.14,ransomwareips
66.85.27.132,ransomwareips
66.85.27.134,ransomwareips
66.85.27.158,ransomwareips
66.85.27.161,ransomwareips
69.85.87.125,ransomwareips
69.85.95.43,ransomwareips
69.85.95.47,ransomwareips
69.85.95.162,ransomwareips
77.73.66.227,ransomwareips
77.222.54.202,ransomwareips
78.40.108.39,ransomwareips
78.46.170.79,ransomwareips
78.47.110.82,ransomwareips
78.47.159.97,ransomwareips
81.177.26.201,ransomwareips
81.177.27.36,ransomwareips
81.177.27.222,ransomwareips
81.177.181.164,ransomwareips
82.146.37.200,ransomwareips
82.196.6.154,ransomwareips
82.202.221.108,ransomwareips
83.217.8.127,ransomwareips
83.217.8.155,ransomwareips
83.217.8.234,ransomwareips
83.217.11.191,ransomwareips
83.217.25.239,ransomwareips
83.217.26.168,ransomwareips
83.220.172.182,ransomwareips
83.243.41.231,ransomwareips
84.19.170.244,ransomwareips
84.19.170.249,ransomwareips
85.25.138.187,ransomwareips
86.104.134.144,ransomwareips
86.110.117.160,ransomwareips
86.110.117.162,ransomwareips
88.198.119.177,ransomwareips
88.214.236.182,ransomwareips
88.214.237.45,ransomwareips
88.214.237.57,ransomwareips
89.108.73.124,ransomwareips
89.108.83.189,ransomwareips
89.108.83.196,ransomwareips
89.108.84.132,ransomwareips
89.108.84.155,ransomwareips
89.108.85.163,ransomwareips
91.121.97.170,ransomwareips
91.142.90.46,ransomwareips
91.142.90.61,ransomwareips
91.191.184.158,ransomwareips
91.195.12.131,ransomwareips
91.195.12.143,ransomwareips
91.195.12.187,ransomwareips
91.200.14.73,ransomwareips
91.200.14.109,ransomwareips
91.200.14.124,ransomwareips
91.200.14.139,ransomwareips
91.201.41.91,ransomwareips
91.201.202.12,ransomwareips
91.201.202.232,ransomwareips
91.203.5.145,ransomwareips
91.209.77.86,ransomwareips
91.210.166.51,ransomwareips
91.211.119.71,ransomwareips
91.211.119.98,ransomwareips
91.214.71.101,ransomwareips
91.219.28.44,ransomwareips
91.219.28.231,ransomwareips
91.219.29.41,ransomwareips
91.219.29.55,ransomwareips
91.219.29.64,ransomwareips
91.219.29.66,ransomwareips
91.219.29.81,ransomwareips
91.219.29.106,ransomwareips
91.219.30.254,ransomwareips
91.219.31.14,ransomwareips
91.219.31.15,ransomwareips
91.219.31.18,ransomwareips
91.223.88.205,ransomwareips
91.223.180.240,ransomwareips
91.226.92.202,ransomwareips
91.226.92.208,ransomwareips
91.226.93.113,ransomwareips
91.226.93.124,ransomwareips
91.228.239.216,ransomwareips
91.230.211.26,ransomwareips
91.230.211.103,ransomwareips
91.230.211.139,ransomwareips
91.230.211.187,ransomwareips
91.234.32.192,ransomwareips
91.234.33.149,ransomwareips
91.234.33.215,ransomwareips
91.234.34.98,ransomwareips
91.234.35.216,ransomwareips
91.234.35.243,ransomwareips
91.237.247.24,ransomwareips
91.239.235.130,ransomwareips
91.247.37.137,ransomwareips
92.63.87.48,ransomwareips
92.63.87.53,ransomwareips
92.63.87.106,ransomwareips
92.63.87.134,ransomwareips
92.222.71.26,ransomwareips
93.170.104.127,ransomwareips
93.170.123.60,ransomwareips
93.170.123.119,ransomwareips
93.170.123.185,ransomwareips
93.170.131.108,ransomwareips
93.170.169.52,ransomwareips
93.171.216.70,ransomwareips
93.171.216.84,ransomwareips
94.242.57.45,ransomwareips
94.242.59.239,ransomwareips
95.46.114.80,ransomwareips
95.46.114.97,ransomwareips
95.46.114.205,ransomwareips
95.163.107.41,ransomwareips
95.181.171.58,ransomwareips
95.213.184.10,ransomwareips
95.213.195.123,ransomwareips
98.143.148.173,ransomwareips
103.11.65.184,ransomwareips
103.11.65.229,ransomwareips
103.43.75.87,ransomwareips
103.219.22.73,ransomwareips
103.232.215.140,ransomwareips
104.129.43.16,ransomwareips
104.131.182.103,ransomwareips
104.161.79.129,ransomwareips
104.192.102.196,ransomwareips
104.192.102.219,ransomwareips
104.238.173.18,ransomwareips
104.244.158.132,ransomwareips
107.170.20.33,ransomwareips
107.174.64.82,ransomwareips
107.181.174.34,ransomwareips
109.230.199.191,ransomwareips
109.234.35.75,ransomwareips
109.234.35.123,ransomwareips
109.234.35.128,ransomwareips
109.237.111.168,ransomwareips
109.248.222.47,ransomwareips
138.201.93.46,ransomwareips
138.201.95.72,ransomwareips
138.201.118.102,ransomwareips
139.59.147.0,ransomwareips
141.8.226.58,ransomwareips
145.239.124.228,ransomwareips
146.120.110.46,ransomwareips
146.185.137.40,ransomwareips
146.185.249.189,ransomwareips
148.163.73.29,ransomwareips
149.154.68.190,ransomwareips
149.154.152.108,ransomwareips
149.154.157.14,ransomwareips
149.154.159.179,ransomwareips
149.202.109.202,ransomwareips
151.236.14.51,ransomwareips
151.236.15.226,ransomwareips
155.94.213.174,ransomwareips
155.94.213.179,ransomwareips
155.94.213.235,ransomwareips
155.94.238.14,ransomwareips
155.94.238.34,ransomwareips
158.69.109.20,ransomwareips
158.69.223.5,ransomwareips
158.255.6.109,ransomwareips
158.255.6.115,ransomwareips
164.132.40.47,ransomwareips
172.82.152.144,ransomwareips
173.234.24.69,ransomwareips
176.31.47.100,ransomwareips
176.53.21.105,ransomwareips
176.107.185.19,ransomwareips
176.121.14.95,ransomwareips
178.62.232.244,ransomwareips
178.63.238.185,ransomwareips
185.5.250.135,ransomwareips
185.14.28.30,ransomwareips
185.14.29.64,ransomwareips
185.14.29.188,ransomwareips
185.14.30.97,ransomwareips
185.17.120.130,ransomwareips
185.22.67.27,ransomwareips
185.22.67.108,ransomwareips
185.46.11.73,ransomwareips
185.46.11.239,ransomwareips
185.67.2.156,ransomwareips
185.75.46.4,ransomwareips
185.75.46.73,ransomwareips
185.75.46.122,ransomwareips
185.80.148.137,ransomwareips
185.82.200.4,ransomwareips
185.82.202.54,ransomwareips
185.82.216.45,ransomwareips
185.82.216.213,ransomwareips
185.82.217.29,ransomwareips
185.86.78.3,ransomwareips
185.92.220.35,ransomwareips
185.98.87.66,ransomwareips
185.100.85.150,ransomwareips
185.102.136.67,ransomwareips
185.102.136.77,ransomwareips
185.106.120.52,ransomwareips
185.106.122.38,ransomwareips
185.114.227.103,ransomwareips
185.114.227.111,ransomwareips
185.115.140.170,ransomwareips
185.117.72.94,ransomwareips
185.117.72.105,ransomwareips
185.117.153.176,ransomwareips
185.122.59.134,ransomwareips
185.127.25.176,ransomwareips
185.129.148.6,ransomwareips
185.141.25.108,ransomwareips
185.141.25.150,ransomwareips
185.146.169.16,ransomwareips
185.147.34.30,ransomwareips
185.162.8.94,ransomwareips
185.162.8.101,ransomwareips
185.179.190.31,ransomwareips
185.183.99.105,ransomwareips
185.183.99.143,ransomwareips
188.120.239.230,ransomwareips
188.127.231.116,ransomwareips
188.127.231.124,ransomwareips
188.127.239.53,ransomwareips
188.138.88.184,ransomwareips
188.166.168.250,ransomwareips
192.36.27.5,ransomwareips
192.71.213.69,ransomwareips
192.121.16.196,ransomwareips
193.0.178.74,ransomwareips
193.9.28.13,ransomwareips
193.9.28.16,ransomwareips
193.9.28.49,ransomwareips
193.9.28.254,ransomwareips
193.32.68.48,ransomwareips
193.70.86.51,ransomwareips
193.124.180.6,ransomwareips
193.124.185.87,ransomwareips
194.1.236.126,ransomwareips
194.28.87.26,ransomwareips
194.31.59.5,ransomwareips
194.58.56.5,ransomwareips
194.58.56.7,ransomwareips
194.58.56.31,ransomwareips
194.58.56.36,ransomwareips
194.58.56.105,ransomwareips
194.58.56.118,ransomwareips
194.58.56.127,ransomwareips
194.58.56.142,ransomwareips
194.58.56.149,ransomwareips
194.58.56.153,ransomwareips
194.58.56.164,ransomwareips
194.58.56.175,ransomwareips
194.58.56.192,ransomwareips
194.58.56.209,ransomwareips
194.58.56.246,ransomwareips
195.19.192.99,ransomwareips
195.43.95.198,ransomwareips
